reqalts , what about spanish food
reqalts , how about european food
request , whats the address
request , what is the phone number
request , address
inform , moderately priced
inform , moderate
inform , im looking for a restaurant in the east part of town serving swiss food
inform , for something moderately priced on the east part of town
affirm , yea
request , what is the phone number and address
request , whats the address
request , can i get the address and phone number
negate , no thank you good bye
inform , north
inform , indian food
thankyou , thank you good bye
inform , i want thai food
inform , im looking for a restaurant that serves bistro food
null , unintelligible
request , what type of venue
inform , any
request , prices
inform , im looking for italian food
request , price range
request , phone number
request , what is the phone number
request , whats the address
inform , moderately priced
inform , i want to find a restaurant in the center and it should serve corsica food
inform , im looking for a restaurant in the north part of town serving indian food
reqalts , is there anything else
inform , korean food
inform , any
inform , im looking for a moderately priced restaurant in the west part of town
thankyou , thank you good bye
inform , moderate
reqalts , how about chinese food
inform , i dont care
inform , moderate
inform , french food
inform , asian oriental food
affirm , yes
inform , i dont care
request , what type of food
negate , no north part of town
inform , greek food
request , can i have the phone number and the address please
null , whats
request , price range
inform , any type
affirm , yeah i need um um m
negate , uh no thank you and good bye
request , address
inform , north
affirm , right
null , sil
negate , no
inform , thai food
request , expensive price range
thankyou , thank you good bye
inform , im looking for something cheap
thankyou , thank you goodbye
inform , i dont know
inform , is there a chinese restaurant in the cheap price range
thankyou , thank you goodbye
inform , with scottish food
request , address
inform , west part of town
inform , north
thankyou , thank you good bye
inform , i want something in the south part of town
inform , chinese
inform , im looking for a moderately priced restaurant that serves scottish food
inform , american
bye , good bye
bye , good bye
inform , that serves turkish food
inform , in the east part of town
inform , russian food
inform , any area
affirm , yes
inform , gastropub
thankyou , thank you good bye
thankyou , thank you good bye
request , address
null , sil
inform , italian food
null , um
inform , im looking for a restaurant in the north part of town serving
null , unintelligible
thankyou , thank you good bye
thankyou , thank you goodbye
thankyou , thank you good bye
thankyou , thank you good bye
inform , its in the south
inform , breath malaysian food
reqalts , is there a restaurant serving vietnamese food
reqalts , is there anything else
thankyou , thank you good bye
thankyou , thank you good bye
request , can i get the address and area of the venue
request , what is the phone number and post code
inform , european type of food
request , what is the phone number
thankyou , thank you good bye
inform , west part of town
thankyou , thank you good bye
null , noise
inform , i need a restaurant in the west part of town that serves crossover food
request , and the price range
request , what is the phone number
inform , greek food in the north part of town
affirm , yes
request , where is it
request , whats the phone number
inform , serving cuban food
null , prise me
request , area
inform , can i have a restaurant in the north
reqalts , how about vietnamese
request , address phone number and postcode
request , address
reqalts , is there anything else
request , what type of food do they serve
inform , im looking for pollynasian food
request , and phone number
inform , im looking for an expensive restaurant in the east part of town
request , uh phone number
null , noise
request , can i have the phone number
inform , i dont care
inform , any area is fine with me
inform , british
request , phone number
request , how about phone number
inform , west part of town
thankyou , thank you good bye
inform , indian
null , noise
request , address
thankyou , thank you good bye
affirm , yes an expensive restaurant serving african food
reqalts , can i have another option
inform , spanish food any area
inform , im looking for a restaurant in the south part of town
affirm , yes
inform , im looking for
inform , any
inform , im looking for a cheap restaurant that serves mediterranean food
inform , any area
inform , moderately priced swedish food
thankyou , thank you goodbye
inform , german food
thankyou , thank you goodbye
request , can i have the address
inform , french food any french food
null , um
inform , vegitarian
thankyou , thank you good bye
thankyou , thank you good bye
negate , no
inform , thai food
inform , chinese restaurant
request , what is the address and phone number
request , what is the address and phone number
inform , australian food
thankyou , thank you good bye
reqalts , anything else
request , what is the address
request , type of food
inform , dont care
inform , how bout i italian food
inform , any
null , sil
reqalts , how about spanish food
inform , i would like to find a restaurant that serves halal food
affirm , yes and i dont care about the price range
null , noise
request , what prices
thankyou , thank you good bye
request , whats the address
request , phone number
inform , im looking for a cheap restaurant in the north part of town
request , phone number
inform , south part of town
request , what type of food
request , phone number
reqalts , how about british food
inform , venue
inform , indian
thankyou , thank you good bye
thankyou , thank you good bye
inform , im looking for a restaurant serving pan asian foo
inform , find a restaurant in the west part of town
thankyou , thank you goodbye
affirm , yes
request , the address
affirm , yes
null , breathing
thankyou , thank you good bye
inform , mediterranean food
inform , vietnamese food
affirm , yes
inform , is there a restaurant serving indian type of food
inform , north
request , what is the address
inform , cheap
thankyou , thank you good bye
affirm , yea in the east part of town
null , noise
request , i need the address phone number and price range
inform , i want a moderately priced restaurant that serves
inform , west part of town
request , whats the price range
request , what is the addre
affirm , yes
request , what is the address
inform , moderate
request , phone number
request , what is the phone number
inform , i dont care
inform , center area
request , whats the phone number
inform , australian food center part of town
request , phone number
request , phone number
thankyou , thank you good bye
thankyou , thank you good bye
request , phone number
inform , british food
inform , indian
negate , no
thankyou , thank you good bye
null , unintelligible
thankyou , thank you good bye
thankyou , thank you good bye
request , whats the address
inform , thai food
request , whats the address and phone number
inform , french food
thankyou , thank you good bye
inform , center
inform , west
null , breathing
thankyou , thank you good bye
request , what is there address
inform , food
affirm , yes
inform , im looking for thai food
inform , food
thankyou , thank you good bye
inform , im looking for a restaurant in the center
inform , i need a restaurant serving corsica food
thankyou , thank you good bye
inform , can i find a restaurant with gastropub food
inform , thare are different expensive restaurants in the east part of town
null , noise
inform , international food in the east part of town
inform , i want a cheap restaurant in the north part of town
inform , any area
request , phone number
request , what is their phone number
inform , west
thankyou , thank you goodbye
request , what is the address
inform , vegitarian
inform , west
request , could i have the phone number please
inform , a expensive restaurant serving japanese food
confirm , is it cheap
inform , british food
request , type of food
reqalts , how about chinese food
request , what is the address
affirm , yes
negate , no
request , the address phone number and postcode
reqalts , what about vietnamese food
request , whats the phone number
request , phone number and post code
request , whats the address
request , what is the address
inform , gastropub
affirm , yes
null , okay
thankyou , thank you good bye
inform , the east part of town
request , what is the phone number
request , phone number
request , post code
inform , i need a moderately priced restaurant in the north part
negate , no
request , whats their phone number
request , post code
request , and the address
request , could i have the address please
thankyou , thank you good bye
request , okay how about the address
request , whats the address
inform , it doesnt matter
request , phone number
request , phone number
request , phone number
null , laugh
affirm , yes
request , okay and whats their phone number please
request , address
inform , expensive
inform , it doesnt matter
inform , im looking for an expensive restaurant
null , noise
inform , west
thankyou , thank you good bye
request , can i have the phone number
inform , i dont care
inform , moderate ly
reqalts , is there anything else
request , could i have the phone number
reqalts , how about chinese
request , what is the address
inform , moderately priced
inform , turkish
request , and the phone number
negate , no
request , address
null , okay and um
thankyou , thank you good bye
inform , i dont care
inform , im looking for a restaurant in any area that serves
request , and the phone number
inform , scottish
thankyou , thank you good bye
null , laughing
request , address
inform , any
inform , im looking for a moderately priced restaurant
inform , i want to find a restaurant in the center that should serve belgian food
inform , can i have european food
thankyou , okay thank you good bye
request , what is the phone number
inform , spanish food
inform , mexican food
inform , center
inform , i dont care
request , what is the phone number
inform , moderately priced restaurant
inform , cheap
inform , i dont care about prices
inform , pan asian food
reqalts , how about korean food
affirm , yes
request , what is the phone number
inform , vegetarian food please
reqalts , how about italian
request , address
null , im sorry
inform , any
reqalts , how about italian food
request , whats the phone number
request , address
inform , portuguese
request , what is the phone number
bye , you good bye
reqalts , how about indian type of food
inform , any
negate , no international
inform , east
affirm , yes
reqalts , how about international food
reqalts , is there anything else
request , could i have the address
request , address
thankyou , thank you good bye
inform , im looking for swedish food
request , what is their address
inform , i dont care
inform , id like to find a restaurant serving french food
reqalts , is there anything else
reqalts , um how about european food
reqalts , um is there anything else
request , can i get the phone number
request , price range
null , unintelligible
null , noise
inform , west
inform , danish
request , and the price range
null , noise
inform , looking for something moderately priced on the north side of town
bye , good bye
request , whats the address
bye , good bye
request , do you got an address
request , and the price range
request , phone number
reqalts , what else is there
thankyou , thank you good bye
request , and whats the price range
thankyou , thank you good bye
inform , i dont care
inform , portuguese food
request , okay whats the address for that
inform , it doesnt matter
null , sil
thankyou , thank you good bye
reqalts , is there anything else
inform , polynesian
inform , spanish
reqalts , is there anything else
null , how about
inform , im looking for an expensive restaurant and it should serve vietnamese food
inform , i need moderately priced restaurant that serves spanish
request , phone number
null , sil
request , what is the address
request , can you give me the phone number
inform , it does not matter
request , area
request , what is the post code
inform , any kind of food id like a cheap restaurant
request , the address
inform , kosher food
inform , indian food in the south
request , what is the area of the venue
affirm , yes
request , oh whats the address
thankyou , thank you good bye
request , address
thankyou , thank you good bye
request , what kind of food does it
request , can i have the address and phone number
inform , moderately priced
ack , okay um
affirm , yeah
reqalts , is there anything else
inform , um i want to find a restaurant that serves fusion food
inform , south
thankyou , thank you good bye
thankyou , thank you good bye
thankyou , thanks goodbye
null , noise
request , whats the address
reqalts , uh what about indian food
inform , any kind of food
inform , north
inform , food
request , can i get the address
inform , spanish food
inform , i want a moderately priced restaurant in the south part of town
thankyou , thank you good bye
inform , korean
request , and the phone number
request , do you have the post code
inform , italian food cheap restaurant
request , okay whats the address
reqalts , what about a modern europene type of food
reqalts , how about spanish food
inform , can you find a moderately priced restaurant
null , cough
affirm , yes
request , price range
inform , i want to find a restaurant in the east part of town that serves canapes foo
inform , unintelligible expensive
affirm , yes
thankyou , thank you goodbye
inform , turkish food
null , sil
request , uh phone number
request , phone number
inform , expensive
inform , international food
inform , i would like to find a moderately priced restaurant and it should serve greek food
inform , vietnamese food
inform , can i get an expensive
inform , im looking for a restaurant in the north part of town and it should serve indo
inform , the centre
null , sil
request , whats their address
inform , cheap
deny , wrong
inform , doesnt matter
request , could i have the phone number and type of food
request , what kind of food is it
inform , is there an indian restaurant the east of town
request , address
request , address
thankyou , thank you good bye
inform , korean
thankyou , thank you good bye
negate , no
inform , cheap restaurant south part of town
inform , american
inform , i dont care
hello , hi i want a restaurant
inform , european
thankyou , thank you good bye
negate , no
inform , west part of town
request , phone number
inform , korean food
inform , center
thankyou , thank you good bye
request , phone number
inform , any area
reqalts , what about belgian food
reqalts , okay what about another restaurant
inform , looking for a moderately priced restaurant that serves brazilian
request , may i have the address please
inform , restaurant south part of town christmas food
inform , i dont care
inform , south
request , phone number
request , and the area
inform , canapes food
inform , i dont care
request , good whats the address
thankyou , thank you good bye
inform , moderate
inform , noise restaurant west part of town danish food
inform , im looking for cross over food
thankyou , thank you good bye
inform , dont know
null , static
request , and the phone number
thankyou , thank you good bye
thankyou , thank you good bye
inform , any area
inform , i need a restaurant in the west part of town
reqalts , how about vietnamese food
request , phone number
request , and the price range
thankyou , thank you good bye
request , how about the phone number
request , area
thankyou , thank you goodbye
request , whats the post code
request , address
inform , cheap restaurant
inform , i do not care
null , unintelligible
inform , portugese
inform , russian
request , address
thankyou , okay thank you good bye
inform , asian oriental
request , what type of food does the venue
inform , south part
thankyou , thank you good bye
thankyou , thank you goodbye
inform , im looking for a european restaurant in center area
thankyou , thank you good bye
request , what kind of food is it
inform , restaurant
null , sil
request , phone number
inform , cheap restaurant in the west part of town
thankyou , thank you good bye
request , address
inform , south
thankyou , thank you good bye
inform , south part of town
request , address
inform , indian type of food
inform , i dont care
inform , thats the north
request , phone number
inform , i dont care
null , noise
inform , i dont care noise
thankyou , thank you good bye
inform , breath i am looking for a venue that serves gastropub food
inform , i dont care
inform , could i have the restaurant that serves asian oriental food
thankyou , thank you good bye
thankyou , thank you goodbye
inform , any
affirm , yes
inform , korean food
request , phone number
request , type of food do they serve
inform , serves turkish food
inform , north
null , expe
request , phone number
inform , expensive
request , phone number
request , address
inform , im looking for a restaurant in the center that serves sea food
inform , unitelligible food
thankyou , thank you good bye
inform , cheap
inform , it doesnt matter
request , whats the phone number
negate , breath no unusual food
reqalts , how about vietnamese food
null , noise
thankyou , noise thank you good bye
thankyou , thank you good bye
request , and whats their address
inform , austallison
inform , the north
request , address
thankyou , thank you good bye
request , cool whats the address
affirm , yes
inform , north north part of town
negate , no how about vietnamese
request , what is the phone number
thankyou , thank you good bye
inform , world food
thankyou , thank you good bye
request , what is the address
reqalts , what about thai food
thankyou , okay thank you and goodbye
null , unintelligible
thankyou , thank you
thankyou , thank you good bye
inform , moderate
reqalts , is there another restaurant that serves portuguese food
inform , vietnamese food
request , area
inform , i dont care
inform , im looking for a restaurant in the north part of town that serves caribbean food
reqalts , another one
inform , cheap restaurant
inform , noise im looking for moderately priced in the north part of cleveland ohio
inform , im looking for a restaurant in the south part of town it should serve kosher food
inform , okay international food
request , what is the address and phone number
null , cough
inform , hungarian food in the west part of town
request , type of food
inform , international
request , can i have their phone number
inform , dont care
request , what is the address
inform , looking for romanian food in the east part of town
thankyou , thank you good bye
inform , north
inform , i would like a cheap restaurant in the north part of town
inform , find restaurant serving asian oriental
request , whats the phone number
request , type of food
inform , any kind of food
request , address
request , whats the phone number
request , and what kind of food do they serve
reqalts , is there anything else
request , what is the address and phone number
request , post code
inform , i need a moderately priced restaurant in the north part of town
request , what is the address
request , address
inform , indian food
thankyou , thank you good bye
request , phone number
reqalts , anything else
inform , south side of town
inform , south part of town
inform , food
affirm , yes
request , address
affirm , yes
request , signature dish
thankyou , unintelligible thank you goodbye
thankyou , thank you good bye
confirm , is that the north part of town south part of town
inform , it doesnt matter
thankyou , thank you good bye
null , noise
null , i dont
thankyou , thank you good bye
null , that is all
request , may i get the phone number
request , and the telephone number
request , can i have the address
thankyou , thank you good bye
inform , turkish food
request , what is the price range
inform , looking for an expensive restaurant in the east part of town
inform , yea im looking for a moderately priced restaurant
thankyou , thank you good bye
request , and what is the post code
request , what type of food does it serve
thankyou , thank you good bye
affirm , yes
thankyou , thank you good bye
thankyou , thank you good bye
affirm , yea thank you good bye
reqalts , how about gastro pub
request , can i have the address
request , what about the post code
request , whats the phone number
inform , any area
inform , the north
affirm , yes
reqalts , anything else
request , what type of food do they serve
inform , id like a international restaurant in the north part of town
request , part of town
request , telephone number
reqalts , is there anything else
inform , doesnt matter
inform , center area
request , what is the phone number
inform , looking for a restaurant in the center that serves vegetarian food
request , type of food
request , whats the address
thankyou , thank you goodbye
request , whats the address
request , and what kind of food do they serve
affirm , yes
inform , expensive restaurant
request , whats the address
request , what is the phone number
inform , spanish food
inform , seafood
reqalts , anything else
thankyou , thank you good bye
reqalts , is there anything else
request , what is the address
request , what type of food do they serve
inform , looking for a restaurant in the east part of town thats moderately priced
inform , hello chinese type of food
inform , south part of town
request , can i have the address please
inform , mediterranean food
null , sil
request , address
inform , steak house
reqalts , how about asian oriental
reqalts , what about asian oriental
request , what is the phone number
inform , i am looking for a moderately priced restaurant that serves turkish food
thankyou , thank you good bye
null , whats the other one
inform , portuguese food in the south
request , telephone number
inform , asian oriental
affirm , yes
request , could i have the address
inform , corsica food
inform , any part
confirm , is it in the south part
request , address
thankyou , thank you good bye
inform , how european
inform , im looking for a cheap restaurant in the north part of town
null , noise
inform , turkish food
null , noise
request , what is the post code
inform , italian food
thankyou , thank you good bye
inform , modern european
inform , any price range
request , and post code
inform , i would like to find an expensive restaurant in the south part
inform , moderate
inform , im looking for a restaurant with thai type
confirm , is it an expensive restaurant
inform , a restaurant in the east part of town that serves caribbean food
reqalts , how about turkish
request , address
request , post code
negate , no caribbean
thankyou , thank you good bye
inform , asian
inform , the south
thankyou , thank you good bye
inform , im looking for a restaurant in the east part of town
null , noise
thankyou , thank you good bye
inform , i dont give a damn about chinese food i want thai food
null , noise
affirm , uh yes an expensive restaurant
inform , canopy
affirm , uh yes
inform , dont care
thankyou , thank you good bye
request , may i have the address and post code
request , what is the address and post code
inform , expensive restaurant asian food
request , phone number
request , i need a phone number
reqalts , do you have a restaurant that serves turkish food
inform , moderately pri
inform , katalian food
inform , i need a moderately priced restaurant serving fusion food
inform , moderately
affirm , yes
inform , need a cheap restaurant
request , is it what what price range
inform , cheap
inform , im looking for a restaurant with irish food
request , whats the phone number
request , can i have the phone number
request , can i have the address
request , phone number
inform , i need a restaurant in the
reqalts , how about italian
request , what is the address and phone number
inform , moderate
reqalts , what about asian oriental
request , whats the address
thankyou , thank you good bye
request , can you give me the address and phone number
request , address
bye , goodbye
thankyou , breath thank you very much goodbye
request , can i get the phone number
request , whats the phone number
inform , cheap price range
inform , im looking for a moderately priced restaurant in the south part of town
inform , looking for a moderately priced restaurant in the east
null , sil
affirm , yes
negate , no steak house
affirm , ye
inform , im looking for an expensive restaurant serving international food
inform , any
thankyou , thank you
request , uh whats the phone number
thankyou , thank you good bye
inform , chinese
inform , im looking for a moderately priced restaurant that serves european food
thankyou , thank you good bye
thankyou , thank you
thankyou , thank you good bye
inform , any part
affirm , yes
inform , vegetarian
thankyou , thank you good bye
inform , looking for a restaurant that serves portuguese food
inform , catalen food
request , area
null , noise
thankyou , thank you good bye
hello , hi im looking for cuban food
inform , south
request , whats the phone number
inform , i want a moderately priced restaurant in the north part of town
confirm , is it moderate
request , type of food
inform , bistro
request , address
request , phone number
inform , im looking for a cheap restaurant in the north part of town
inform , japanese food
request , address
null , sil
thankyou , thank you good bye
thankyou , okay thank you goodbye
inform , a chinese
inform , any
inform , the expensive
request , the area
inform , east
inform , in the center
thankyou , thank you good bye
bye , see you good bye
affirm , yes
thankyou , thank you goodbye
request , whats the phone number
inform , any type
inform , chinese
thankyou , thank you good bye
inform , afghan
inform , vietnamese food
request , can i have the post code
inform , chinese
thankyou , thank you good bye
request , whats their address
request , whats the address
inform , im looking for a cheap restaurant
inform , cheap
request , what is the phone number
request , address
negate , no im looking for an expensive restaurant in the east part of town
negate , no caribbean food
inform , korean
inform , dont care
thankyou , thank you goodbye
inform , im looking for a moderately priced restaurant that serves vietnamese food
request , address
reqalts , how about asian food
inform , european food
null , cough
inform , cuban food
thankyou , thank you goodbye
thankyou , thank you good bye
hello , hi im looking for
inform , can i get swedish food
request , can i get the address phone number and post code
inform , south part of town
request , whats the address
thankyou , thank you good bye
inform , chinese food
thankyou , thank you goodbye
inform , crossover
affirm , uh yes turkish food
inform , id like to find a moderately priced restaurant in the west of town
request , type of food
request , what is the post code
negate , no i would like a cuban restaurant
request , what is the phone number
inform , japanese
reqalts , is there anything else
thankyou , thank you good bye
request , address
null , unintelligible
thankyou , thank you good bye
request , what type of food do they serve
request , what area
request , what is the post code
inform , expensive mediterranean food
inform , anywhere
request , phone number
affirm , uh yes i am looking for an expensive restaurant in the south part of
inform , west killeen
request , post code
inform , food type
inform , any
thankyou , thank you goodbye
reqalts , how about portuguese
inform , any area
null , noise
inform , any
request , and address
request , area
inform , in any area
inform , east
thankyou , thank you good bye
inform , im looking for a restaurant in any area that serves north american type
affirm , yes
request , address
request , what is the address
reqalts , how about a restaurant that serves thai food
inform , i want to find an expensive restaurant that
request , whats the phone number
null , does do you know anyone who serves um
request , what kind of food does it serve
inform , east
null , and ah
null , noise
request , what is little seouls phone number
thankyou , thank you good bye
inform , vietnamese
inform , any
request , what type of food
null , noise
inform , i dont care
inform , expensive restaurant
inform , scandinavian food
inform , traditional food
inform , im looking for a restaurant serving vegetarian food
request , the address
inform , thai
null , okay
request , what is the address
inform , expensive european
inform , doesnt matter
thankyou , thank you goodbye noise
request , what is the area
inform , im looking for an expensive restaurant that serves european food
request , phone number
inform , how bout european
inform , uh im looking for a moderately priced restaurant
inform , looking for a restaurant in any area
inform , can i have an expensive restaurant
inform , brazilian food
request , okay show me the address
inform , i want to find a restaurant in any area
request , what is the phone number
reqalts , how about chinese food
request , what is their phone number
reqalts , is there anything else
request , uh whats the address and phone number
null , noise
inform , vietnamese
request , address
null , inaudible
request , and the phone number
inform , expensive
affirm , yes
inform , west part of town
inform , moderate
thankyou , thank you good bye
thankyou , thank you good bye
inform , im looking for a restaurant in the south part of town and danish food
request , address
inform , australian food
reqalts , how about international food
request , what area is it in
request , address
inform , id like to find a cheap restaurant in the west part of town
inform , i dont care
bye , good bye
inform , moderately priced
inform , food
reqalts , is there anything else
thankyou , thank you good bye
inform , it doesnt matter
request , phone number and post code
inform , the south part of town
affirm , yes
thankyou , thank you goodbye
inform , indian
inform , any
reqalts , anything else
inform , asian oriental food
request , may i have the phone number please
inform , i dont care
inform , dont care expensive
request , post code
null , unintelligible
request , price range
request , may i have the postcode
inform , um west side
request , area
inform , doesnt matter
request , whats the address
thankyou , thank you good bye
request , whats the address
inform , mexican
inform , looking for something moderately priced on the north side of town
thankyou , thank you good bye
request , whats the phone number
request , post code
thankyou , thank you good bye
inform , im looking for a restaurant in the center part of town that serves european food
inform , id like a restaurant in any area that serves japanese food
confirm , is it expensive
request , whats the address
null , sil
inform , italian
null , id like
request , part of town
inform , any part
request , can i have the address
reqalts , anything else
inform , i need a moderately priced restaurant
affirm , yes
inform , arotrian
inform , indian food
reqalts , how about british type of food
affirm , yea
null , cough
reqalts , and anything else
null , sil
request , what is the address and phone number
request , address
inform , any
thankyou , thank you goodbye
inform , and the north
thankyou , thank you good bye
request , address
inform , cantonese food
inform , cheap
inform , any type
inform , spanish
affirm , uh yes
reqalts , is there anything else
inform , expensive african food
inform , north part of town austral asian food
thankyou , thank you good bye
inform , any cheap food
inform , prezzo
inform , belgium food
inform , i would like korean food
thankyou , thank you good bye
reqalts , how about indian food
request , whats the address
thankyou , thank you goodbye
request , post code
inform , any
inform , is there an asian oriental restaurant in the north part of town
thankyou , thank you bye
request , phone number
inform , im looking for a restaurant in the center serving greek food
request , address
inform , moderately priced
inform , gastropub
inform , vietnamese food
inform , vietnamese
thankyou , thank you good bye
reqalts , how about vietnamese food
inform , expensive restaurant
request , phone number
inform , im looking for a moderately priced restaurant in the north part of town
inform , moderate
request , address
inform , swedish
inform , east
inform , moderately priced
thankyou , thank you good bye
inform , uh i want cantonese food
request , may i have the phone number
inform , anything
inform , canapes
reqalts , how about modern european food
reqalts , how about gastropub food
inform , cheap in the west part of town
inform , indian food
inform , uh south part of town
inform , um moderate
thankyou , thank you good bye
request , phone number
request , whats the phone number
request , what type of food do they serve
request , could i have their phone number as well
request , what is the price range
inform , any
inform , uh cheap moderate
inform , north american
negate , no
inform , dont care
inform , i want to find a restaurant in any area
request , whats the area
inform , cantonese food
inform , jamcian food
thankyou , thank you good bye
request , and whats their phone number
inform , moderately priced in the south part of town
inform , i dont care
inform , it doesnt matter
inform , any type of food
inform , any part of town
request , kay can i have the address phone number and the area
inform , it doesnt matter
reqalts , how about portuguese good
inform , im looking for a moderate priced restaurant that serves indian food
inform , any
thankyou , thank you good bye
null , cough
thankyou , thank you goodbye
hello , hi looking for a moderately priced restaurant
thankyou , thank you good bye
thankyou , thank you good bye
request , what type of food is served
inform , expensive restaurant east part of town
inform , kitalian food
affirm , yes
inform , im looking for a korean restaurant
inform , italian food
request , price range
reqalts , how about turkish
request , what is the address
thankyou , thank you good bye
inform , italian food in the west part of town
inform , i dont care
thankyou , thank you good bye
inform , moderately priced food in the north part of town
inform , indian food
confirm , do they serve sea food
request , address
request , phone number
ack , great day unintelligible
inform , cheap restaurant in the north part of town
thankyou , thank you good bye
request , what about the area
inform , middle
request , whats the address and phone number
reqalts , how about modern european food
inform , moderately priced
inform , im looking for a moderately priced restaurant in the east part of town
reqalts , how about british food
inform , cheap restaurant serves spanish food
confirm , does it serve italian food
reqalts , is there anything else
inform , east part of town
inform , uh it doesnt matter
inform , north american
null , incorrect
inform , south side
reqalts , how about spanish food
inform , indian
reqalts , how about vietnamese food
thankyou , thank you
request , phone number
inform , id like a expensive restaurant in the south part of town
inform , doesnt matter
inform , austro food
inform , moderately priced restaurant in the west part of town
request , whats the address
inform , irish food
request , area
thankyou , thank you goodbye
inform , east
request , what type of food do they serve
inform , tuscan food
inform , i dont care
inform , i dont care
thankyou , thank you good bye
affirm , yes
confirm , is that persian food
thankyou , thank you good bye
request , phone number
request , okay whats the address
reqalts , okay what about european
inform , south
thankyou , thank you good bye
affirm , right
affirm , yes
null , cough
reqalts , how about asian oriental type of food
affirm , yes
inform , italian
thankyou , thank you good bye
inform , thai
thankyou , thank you good bye
bye , you good bye
request , phone number
reqmore , more
inform , restaurant south part of town
inform , i want indian food
request , telephone number
reqalts , is there anything else
inform , english
inform , im looking for a cheap restaurant that serves vietnamese food
request , address
reqalts , how about modern european type of food
thankyou , thank you
request , whats the address
reqalts , anything else
request , can i get the address
request , what is the phone number
request , whats the address and price range
inform , i want fusion food
inform , im looking for a restaurant in the north part of town serving indian food
request , phone number
request , phone number
affirm , yes
inform , not korean unintelligible
inform , a cheap restaurant and it should be in the west part of town
inform , moderate
inform , south
inform , doesnt matter
null , unintelligible
inform , im looking for a restaurant in the west part of town that serves
inform , cheap
inform , greek
inform , dont care
request , whats the address
confirm , uh is there a modern european food restaurant
request , whats the address
inform , irish food
affirm , yes
inform , restaurant in the east side of town
inform , malaysian restaurant
thankyou , thank you good bye
request , phone number
request , phone number
inform , cantonese food
request , can i get the address
bye , good bye
request , can i get the address
request , what is the address
request , and the telephone number
null , sil
thankyou , thank you goodbye
inform , you said chinese food
negate , no
request , can i get the address
inform , any
inform , in the west part of town
request , okay please give me the phone number
inform , any
request , phone number
thankyou , thank you good bye
thankyou , thank you good bye
thankyou , thank you good bye
inform , asian oriental
inform , expensive
request , address
inform , african food
null , sil
request , phone number
thankyou , thank you good bye
request , okay could you give me the address
inform , serving catalan food
inform , brazilian
request , can i have the address
null , noise
bye , alright thank you good bye
thankyou , thank you good bye
inform , any area
thankyou , thank you good bye
inform , im looking for an expensive restaurant and it should serve international food
request , phone number
hello , hi im looking for a moderately priced restaurant in the south part of
request , address
request , whats the address
reqalts , how about canapes
request , phone number
request , what is the address and postcode
reqalts , how about asian food
request , phone number
null , sil
inform , north
inform , okay expensive
thankyou , thank you good bye
inform , i need a cheap restaurant that serves indonesian food
inform , north
inform , fast food
request , and whats the phone number
request , okay and uh whats the address
request , what is the address
inform , cheap
inform , an expensive unintelligible
inform , expensive
inform , doesnt matter
reqalts , anything else
thankyou , thank you goodbye
request , phone number
request , what is the phone number
inform , doesnt matter
bye , good bye
request , what kind of food does it serve
request , what is the address phone number and type of food
request , and the phone number
request , what is the phone number
request , phone
confirm , is it in the south part of town
thankyou , thank you good bye
inform , what about other parts of town
reqalts , is there anything else
request , what is the address and the type of food
null , unintelligible
inform , korean food
inform , vietnamese food
inform , indian
inform , any price range
inform , restaurant north part of town seafood
thankyou , thank you good bye
reqmore , more
inform , south part of town
inform , south
inform , spanish food
request , uh whats the address and the phone number
confirm , is there a cheap restaurant that serves vietnamese food
inform , brazilian
request , and phone number
inform , moderately priced
inform , okay change restaurant
reqalts , what about thai
inform , belgium food
request , what is the address
inform , i dont care
thankyou , thank you good bye
affirm , yes
inform , expensive
reqalts , is there anything else
request , phone number
request , phone number
inform , asian food
inform , any kind of food
null , nosie
affirm , yes
inform , okay moderate price range
request , the phone number
request , whats their address
thankyou , can i okay thank you
reqalts , what about portugese
ack , okay um
request , the area
request , okay might i have the address
reqalts , is there anything else
request , what is the phone number
affirm , yes
inform , european food any price
inform , center
reqalts , is there anything else
reqalts , what about chinese food
request , what is the post code
request , could you give me the phone number and post code
request , what type of food do they serve
reqalts , how about korean food
request , whats their phone number
inform , cheap
negate , no
inform , it does not matter
negate , no im looking in the south of the town
inform , expensive restaurant serving kosher food
inform , any
negate , no
affirm , yes
request , and what is the post code again
affirm , right
affirm , yes
request , whats the address
reqalts , is there a restaurant in the north part of town that serves indian food
inform , anything cheap
inform , any type
inform , any
inform , any
thankyou , thank you good bye
reqalts , what about international food
negate , no
inform , center
thankyou , thank you goodbye
inform , spanish
thankyou , thank you goodbye
inform , expensive
thankyou , thank you good bye
inform , danish
request , what is the address phone number and the price range
request , the price range
hello , hello
null , sil
inform , irish food
thankyou , thank you good bye
inform , looking for a moderately priced restaurant in the west part of town
request , and the price range
inform , looking for a restaurant in the south part of town
inform , moderate
inform , anything
inform , looking for a cheap restaurant in the south part of town
inform , kosher
affirm , ah yes im looking for persian food though
request , phone number
inform , international food
request , okay whats the phone number
null , unintelligible
request , can i have the address and the postcode
request , can i have the address phone number and
request , whats the phone number
inform , any type of food
request , whats the address
affirm , yes
hello , hello
inform , doesnt matter
reqalts , is there anything else
inform , i am looking for an expensive restaurant that serves australian food
hello , hello
affirm , right
request , what part of town
null , unintelligible
request , what is the phone number
inform , ostro asian
thankyou , thank you good bye
request , okay can i have the phone number and the post code please
inform , food
reqalts , is there a restaurant that serves modern european
inform , irish
request , and the phone number
